variant,run,type,pause_ms
fee_agnostic_besu,1,Young,3.83
fee_agnostic_besu,1,Young,3.462
fee_agnostic_besu,1,Young,4.848
fee_agnostic_besu,1,Young,2.808
fee_agnostic_besu,1,Young,5.297
fee_agnostic_besu,1,Young,11.423
fee_agnostic_besu,1,Young,8.75
fee_agnostic_besu,1,Young,18.482
fee_agnostic_besu,1,Young,7.207
fee_agnostic_besu,1,Young,8.827
fee_agnostic_besu,1,Young,7.839
fee_agnostic_besu,1,Young,7.268
fee_agnostic_besu,1,Young,6.19
fee_agnostic_besu,1,Young,7.029
fee_agnostic_besu,1,Young,6.568
fee_agnostic_besu,1,Young,14.989
fee_agnostic_besu,1,Young,8.641
fee_agnostic_besu,1,Young,6.816
fee_agnostic_besu,1,Young,6.815
fee_agnostic_besu,1,Young,5.547
fee_agnostic_besu,1,Young,3.762
fee_agnostic_besu,1,Young,5.158
fee_agnostic_besu,1,Young,4.294
fee_agnostic_besu,1,Young,5.755
fee_agnostic_besu,1,Young,5.516
fee_agnostic_besu,1,Young,9.839
fee_agnostic_besu,1,Young,4.657
fee_agnostic_besu,1,Young,9.425
fee_agnostic_besu,1,Young,8.505
fee_agnostic_besu,1,Young,5.529
fee_agnostic_besu,1,Young,5.25
fee_agnostic_besu,1,Young,4.67
fee_agnostic_besu,1,Young,5.177
fee_agnostic_besu,1,Young,4.232
fee_agnostic_besu,1,Young,5.547
fee_agnostic_besu,1,Young,5.557
fee_agnostic_besu,1,Young,3.932
fee_agnostic_besu,1,Young,4.018
fee_agnostic_besu,1,Young,3.953
fee_agnostic_besu,1,Young,6.557
fee_agnostic_besu,1,Young,6.294
fee_agnostic_besu,1,Young,4.112
fee_agnostic_besu,1,Young,4.868
fee_agnostic_besu,1,Young,4.721
fee_agnostic_besu,1,Young,5.906
fee_agnostic_besu,1,Young,3.01
fee_agnostic_besu,1,Young,5.786
fee_agnostic_besu,1,Young,5.35
fee_agnostic_besu,1,Young,5.718
fee_agnostic_besu,1,Young,7.513
fee_agnostic_besu,1,Young,5.28
fee_agnostic_besu,1,Young,3.284
fee_agnostic_besu,1,Young,6.239
fee_agnostic_besu,1,Young,5.353
fee_agnostic_besu,1,Young,2.806
fee_agnostic_besu,1,Young,6.221
fee_agnostic_besu,1,Young,6.96
fee_agnostic_besu,1,Young,2.875
fee_agnostic_besu,1,Young,5.442
fee_agnostic_besu,1,Young,5.112
fee_agnostic_besu,1,Young,5.399
fee_agnostic_besu,1,Young,7.427
fee_agnostic_besu,1,Young,5.177
fee_agnostic_besu,1,Young,5.962
fee_agnostic_besu,1,Young,4.315
fee_agnostic_besu,1,Young,3.228
fee_agnostic_besu,1,Young,6.227
